idx,name,title,cate,source
27525,김봉준,태니지먼트 대표이사,"동기부여, 자기계발,경영/조직, 리더십, 조직문화, 조직관리, 목표관리, 조직활성화, 경영전략, 협력, 협업, 상생,소통, 커뮤니케이션",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27525
27528,서점직원,UX / UI 디자이너,"AI/미래, 디지털기술, IT, Ai(인공지능), DX, 모바일웹, 비즈니스,창의/마케팅, 창의력, 디자인",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27528
27529,김성연(우디),UX / UI 디자이너,"창의/마케팅, 상상력, 창의력, 콘텐츠, 디자인",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27529
27530,이춘희,ux writing lab 대표,"창의/마케팅, 상상력, 창의력, 광고, 마케팅, 콘텐츠, 디자인",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27530
27531,신종원,00대학 전공설계부 초빙조교수,"교육, 자녀교육, 공부법, 입시, 독서법, 부모교육, 글쓰기,취업, 진로",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27531
27532,여동기,명지전문대학 겸임교수(산업경영공학과),"동기부여, 열정, 프로정신, 자기관리, 자기계발, 꿈,경영/조직, 경영, 리더십, 조직활성화, CEO, 변화,창의/마케팅, 마케팅,세일즈, 유통, 고객관리,취업, 면접, 이력서(자소서), 진로, 직업관",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27532
27533,이윤설,잇컬러 대표,"인문학, 미술,퍼스널브랜딩, 이미지메이킹, 퍼스널컬러,힐링, 실습&체험",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27533
27534,장기민,경희대학교 창업학 지도교수,"AI/미래, Ai(인공지능),경영/조직, 경영전략, 창업,소통, 커뮤니케이션,퍼스널브랜딩,창의/마케팅, 마케팅, 디자인,취업, 진로",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27534
27535,최기일,상지대학교 군사학과 교수,"사회/환경, 남북관계, 분단, 통일",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27535
27536,장순규,계명대학교 시각디자인전공 조교수,"창의/마케팅, 상상력, 창의력, 콘텐츠, 디자인",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27536
27537,박수밀,한양대학교 연구교수,"인문학, 고전, 철학, 세계, 문학,교육, 글쓰기",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27537
27538,김상임,블루밍경영연구소 대표코치,"동기부여, 비전,경영/조직, 리더십, 조직문화, 조직관리, 협력, 협업, 상생,소통, 커뮤니케이션,힐링, 마음",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27538
27539,이희명,세계사 강사,"인문학, 역사, 세계, 한국사",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27539
27542,임영균,갓기획 대표,"동기부여, 자기계발,경영/조직, 목표관리, 협력, 협업, 상생,소통, 프레젠테이션",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27542
27543,김해동,계명대학교 환경공학과 교수,"인문학, 과학,사회/환경, ESG",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27543
27549,김용성,충남대학교 기술교육과 교수,"AI/미래, IT, Ai(인공지능), 빅데이터, 미래기술,교육, 자녀교육, 부모교육",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27549
27558,김태영,대통령실 경호처 경호안전교육원 교수,"경영/조직, 위기관리,소통, 커뮤니케이션,세일즈, 협상",https://www.hooh.kr/sub/teacher/next.asp?m_idx=27558
549,조달환,"영화배우, 캘리그라피 작가","동기부여, 열정, 인생스토리, 도전, 삶의자세, 꿈, 마인드셋,힐링, 행복",https://www.hooh.kr/sub/teacher/next.asp?m_idx=549
700,김숙기,나우미가족문화연구원 원장,"소통, 커뮤니케이션, 관계, 가족, 부부,교육, 자녀교육, 여성학, 부모교육",https://www.hooh.kr/sub/teacher/next.asp?m_idx=700
